,word,rank,layer
9,в том,10,4
9,в том,10,4
9,в том,10,4
9,в том,10,4
9,в том,10,4
9,в том,10,4
9,в том,10,4
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,5
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,6
9,в том,10,7
9,в том,10,7
9,в том,10,7
9,в том,10,7
9,в том,10,7
9,в том,10,7
9,в том,10,7
9,в том,10,8
9,в том,10,8
9,в том,10,8
9,в том,10,8
9,в том,10,8
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,9
9,в том,10,10
9,в том,10,10
9,в том,10,10
9,в том,10,10
9,в том,10,11
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,0
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,1
14,не только,15,2
14,не только,15,3
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,4
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,5
14,не только,15,6
14,не только,15,6
14,не только,15,6
14,не только,15,6
14,не только,15,6
14,не только,15,6
14,не только,15,6
14,не только,15,6
14,не только,15,7
14,не только,15,7
14,не только,15,7
14,не только,15,8
14,не только,15,8
14,не только,15,8
14,не только,15,9
14,не только,15,9
14,не только,15,9
14,не только,15,9
14,не только,15,9
14,не только,15,11
14,не только,15,11
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,0
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,1
18,ничего не,19,2
18,ничего не,19,2
18,ничего не,19,3
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,4
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,5
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,6
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,7
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,8
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,9
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,10
18,ничего не,19,11
18,ничего не,19,11
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,0
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,1
21,он не,22,3
21,он не,22,3
21,он не,22,4
21,он не,22,4
21,он не,22,4
21,он не,22,5
21,он не,22,5
21,он не,22,5
21,он не,22,5
