,word,rank,layer
13,себя,44,0
13,себя,44,0
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,1
13,себя,44,2
13,себя,44,4
13,себя,44,4
13,себя,44,4
13,себя,44,4
13,себя,44,5
13,себя,44,5
13,себя,44,5
13,себя,44,5
13,себя,44,6
13,себя,44,7
13,себя,44,7
13,себя,44,9
13,себя,44,10
14,мой,47,0
14,мой,47,0
14,мой,47,0
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,1
14,мой,47,2
14,мой,47,3
14,мой,47,4
14,мой,47,4
14,мой,47,4
14,мой,47,5
14,мой,47,6
14,мой,47,7
14,мой,47,7
14,мой,47,7
14,мой,47,11
15,говорить,49,0
15,говорить,49,0
15,говорить,49,0
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,1
15,говорить,49,2
15,говорить,49,3
15,говорить,49,4
15,говорить,49,4
15,говорить,49,5
15,говорить,49,5
15,говорить,49,5
15,говорить,49,7
15,говорить,49,9
15,говорить,49,10
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
